City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hawaiian Paradise Park,US,19.5933,-154.9731,79.02,61,20,9.22,few clouds
Puerto Natales,CL,-51.7236,-72.4875,55.85,50,0,9.22,clear sky
Olonkinbyen,SJ,70.9221,-8.7187,24.39,58,46,6.55,scattered clouds
Bemidji,US,47.4736,-94.8803,31.05,93,100,11.5,light snow
Santana,BR,-0.0583,-51.1817,80.78,89,75,8.05,broken clouds
Aasiaat,GL,68.7098,-52.8699,10.44,91,100,7.94,overcast clouds
Howard Springs,AU,-12.497,131.047,76.91,100,84,4.43,broken clouds
Edinburgh Of The Seven Seas,SH,-37.0676,-12.3116,62.64,84,96,9.24,overcast clouds
Korla,CN,41.7597,86.1469,63.57,22,16,15.28,few clouds
Altay,CN,47.8667,88.1167,43.36,24,0,9.1,clear sky
Longyearbyen,SJ,78.2186,15.6401,3.04,78,20,10.36,few clouds
Stornoway,GB,58.2093,-6.3865,38.08,90,75,21.85,light rain
Lihue,US,21.9789,-159.3672,76.73,57,0,16.11,clear sky
Ola,RU,59.5833,151.2833,28.53,96,99,6.44,light snow
Blackmans Bay,AU,-43.0167,147.3167,42.93,93,0,4.97,clear sky
Chifeng,CN,42.2683,118.9636,40.98,47,29,15.82,scattered clouds
Oebisfelde,DE,52.4333,10.9833,53.06,53,85,8.88,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,82.54,89,54,4.0,broken clouds
Yorkton,CA,51.2167,-102.4677,37.24,75,0,13.8,clear sky
Palafrugell,ES,41.9174,3.1631,56.32,68,8,5.91,clear sky
Ugoofaaru,MV,5.6667,73.0,82.45,69,50,2.48,scattered clouds
Utrik,MH,11.2278,169.8474,81.88,77,88,21.7,light rain
Siwa Oasis,EG,29.2041,25.5195,68.31,25,0,10.18,clear sky
Punta Arenas,CL,-53.15,-70.9167,51.91,58,20,17.27,few clouds
Infanta,PH,14.7425,121.6494,78.35,77,3,6.31,clear sky
Palu,ID,-0.8917,119.8707,73.44,96,36,3.58,scattered clouds
Acapulco De Juarez,MX,16.8634,-99.8901,87.62,69,40,11.5,scattered clouds
Revda,RU,56.801,59.9303,41.4,96,100,8.25,overcast clouds
Nikolayevsk-On-Amure,RU,53.1406,140.73,20.66,85,36,1.36,scattered clouds
Cidreira,BR,-30.1811,-50.2056,77.07,81,51,6.98,broken clouds
Papatowai,NZ,-46.5619,169.4708,52.79,82,100,10.89,overcast clouds
Nabire,ID,-3.3667,135.4833,75.2,92,95,2.42,overcast clouds
Hithadhoo,MV,-0.6,73.0833,82.94,71,100,4.99,overcast clouds
Fale Old Settlement,TK,-9.3852,-171.2468,82.72,78,100,7.99,light rain
Maceio,BR,-9.6658,-35.7353,80.04,89,40,5.75,scattered clouds
Hasaki,JP,35.7333,140.8333,65.84,88,100,27.09,overcast clouds
Vuokatti,FI,64.146,28.2697,32.31,93,42,3.94,scattered clouds
Xianning,CN,29.8833,114.2167,63.19,80,99,4.29,overcast clouds
San Patricio,US,28.017,-97.5169,84.15,65,100,15.39,overcast clouds
Invercargill,NZ,-46.4,168.35,52.02,86,100,5.01,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,68.31,80,17,1.01,few clouds
Nemuro,JP,43.3236,145.575,41.05,99,100,18.79,light rain
Whakatane,NZ,-37.9585,176.9854,63.09,66,100,2.93,overcast clouds
Port-Vila,VU,-17.7338,168.3219,82.0,83,40,6.91,scattered clouds
Wailua Homesteads,US,22.0669,-159.378,76.12,65,0,16.11,clear sky
Mulki,IN,13.1,74.8,81.68,83,40,3.44,scattered clouds
Ribeira Grande,PT,38.5167,-28.7,61.2,77,75,12.66,light rain
Sur,OM,22.5667,59.5289,78.71,49,96,5.95,overcast clouds
Kattivakkam,IN,13.2167,80.3167,85.06,81,77,10.42,broken clouds
Geraldton,AU,-28.7667,114.6,63.01,94,41,3.44,scattered clouds
Port Alfred,ZA,-33.5906,26.891,66.18,92,74,12.44,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,83,75,4.61,broken clouds
Vilyuchinsk,RU,52.9306,158.4028,32.27,73,27,9.51,scattered clouds
Cimarron Hills,US,38.8586,-104.6989,57.34,27,0,11.5,clear sky
Acajutla,SV,13.5928,-89.8275,88.32,66,8,8.79,clear sky
Morondava,MG,-20.2833,44.2833,79.45,77,1,1.32,light rain
Tucurui,BR,-3.7661,-49.6725,76.78,92,96,2.64,overcast clouds
Saipan,MP,15.1355,145.701,81.3,74,40,21.85,scattered clouds
Rawlins,US,41.7911,-107.2387,51.35,39,75,15.28,broken clouds
Alice Springs,AU,-23.7,133.8833,67.55,68,100,0.0,overcast clouds
Serdar,TM,38.9764,56.2757,69.87,36,89,7.9,overcast clouds
Minas De Marcona,PE,-15.2119,-75.1103,69.22,62,66,15.68,broken clouds
Uliastay,MN,47.7417,96.8444,27.9,55,48,4.21,scattered clouds
Krasnoshchekovo,RU,51.6708,82.7289,45.36,74,83,4.63,broken clouds
Hobyo,SO,5.3505,48.5268,81.68,68,0,11.68,clear sky
Isafjordur,IS,66.0755,-23.124,25.77,70,89,3.02,overcast clouds
Fort Bragg,US,35.139,-79.006,83.75,51,33,14.72,scattered clouds
Hermanus,ZA,-34.4187,19.2345,63.43,82,2,6.96,clear sky
Broken Hill,AU,-31.95,141.4333,64.22,31,30,9.48,scattered clouds
Constantia,RO,44.1833,28.65,48.07,76,24,8.63,few clouds
Lujan,AR,-34.5703,-59.105,62.94,62,8,4.0,clear sky
Kodiak,US,57.79,-152.4072,29.71,93,100,11.5,mist
Princeville,CA,45.7668,-61.2985,32.54,75,75,13.8,light snow
Muntok,ID,-2.0667,105.1833,78.15,85,57,2.46,broken clouds
Kangiwa,NG,12.5521,3.8187,85.96,12,47,7.52,scattered clouds
Myeik,MM,12.4333,98.6,79.07,75,100,3.98,overcast clouds
Altai,MN,46.3722,96.2583,29.37,40,16,2.73,few clouds
Quelimane,MZ,-17.8786,36.8883,75.15,94,75,3.74,broken clouds
Ust'-Ilimsk,RU,58.0006,102.6619,4.19,98,29,3.22,scattered clouds
Cabo San Lucas,MX,22.8909,-109.9124,84.51,59,40,11.5,scattered clouds
Blagoveshchenka,RU,52.8333,79.8667,38.66,82,100,9.33,overcast clouds
Brookings,US,44.3114,-96.7984,40.17,74,100,25.32,overcast clouds
Xinqing,CN,48.2333,129.5,28.81,54,19,2.37,few clouds
Labytnangi,RU,66.6572,66.4183,28.35,85,94,8.88,overcast clouds
College,US,64.8569,-147.8028,32.47,39,0,3.44,clear sky
Sona,IT,45.4388,10.8255,54.52,58,0,4.61,clear sky
Klyuchi,RU,52.2667,79.1667,43.92,76,100,9.84,overcast clouds
Pandan,PH,14.0453,124.1694,75.43,87,30,1.9,scattered clouds
Stanley,GB,54.868,-1.6985,48.07,81,20,23.02,few clouds
I-N-Salah,DZ,27.1935,2.4607,68.58,17,0,9.89,clear sky
Gimbi,ET,9.1667,35.8333,59.97,88,96,3.6,moderate rain
Ilhabela,BR,-23.7781,-45.3581,74.88,89,6,3.24,clear sky
Bikenibeu Village,KI,1.3673,173.1241,84.16,79,100,14.97,overcast clouds
Tocopilla,CL,-22.092,-70.1979,70.59,69,13,1.86,few clouds
Bhandaria,BD,22.4861,90.0609,76.57,92,96,5.84,overcast clouds
Plaza Huincul,AR,-38.926,-69.2086,57.69,36,68,18.41,broken clouds
Iqaluit,CA,63.7506,-68.5145,-0.31,64,75,9.22,broken clouds
Usogorsk,RU,63.4106,48.6872,24.1,95,70,4.5,broken clouds
Cascais,PT,38.6979,-9.4215,65.55,80,59,3.0,broken clouds
Bredasdorp,ZA,-34.5322,20.0403,61.97,80,0,4.85,clear sky
Tabas,IR,33.5959,56.9244,66.78,48,56,8.72,light rain
Jamestown,US,42.097,-79.2353,80.24,44,40,16.11,scattered clouds
Machachi,EC,-0.5,-78.5667,56.17,93,100,1.48,light rain
Aras-Asan,PH,8.8908,126.3033,75.33,84,31,2.35,scattered clouds
Codrington,AU,-38.2667,141.9667,51.71,83,100,7.52,overcast clouds
Nyurba,RU,63.2842,118.3319,-10.53,100,95,1.41,overcast clouds
Urangan,AU,-25.3,152.9,68.25,96,10,3.0,clear sky
Yeniseysk,RU,58.4497,92.1703,33.28,98,100,7.4,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,14.76,81,66,2.71,broken clouds
Natal,BR,-5.795,-35.2094,82.62,78,40,9.22,scattered clouds
Leer,DE,53.2316,7.461,53.94,81,58,17.87,broken clouds
Parry Sound,CA,45.3501,-80.033,37.45,93,100,16.08,light rain
Bereznik,RU,62.8551,42.7072,32.47,84,99,4.54,overcast clouds
East London,ZA,-33.0153,27.9116,70.38,84,98,12.21,overcast clouds
Sarichioi,RO,44.95,28.85,44.82,87,11,3.44,few clouds
Talnakh,RU,69.4865,88.3972,16.21,90,100,11.63,overcast clouds
Lebu,CL,-37.6167,-73.65,57.42,71,69,11.41,broken clouds
Bel Ombre,SC,-4.6167,55.4167,82.24,78,20,5.75,few clouds
Carlsbad,US,33.1581,-117.3506,87.33,41,0,14.97,clear sky
Antonio Enes,MZ,-16.2325,39.9086,72.95,81,0,8.95,clear sky
Joshimath,IN,30.5667,79.5667,43.95,64,100,6.62,overcast clouds
Keflavik,IS,64.0049,-22.5624,30.63,86,40,6.91,scattered clouds
Broome,US,42.2506,-75.833,72.43,65,40,11.5,scattered clouds
Tiksi,RU,71.6872,128.8694,0.77,96,100,2.13,overcast clouds
Hassi Messaoud,DZ,31.6804,6.0729,62.46,31,0,2.3,clear sky
Enewetak,MH,11.3474,162.3373,81.68,82,76,26.75,broken clouds
Nova Sintra,CV,14.8667,-24.7167,72.21,86,0,21.05,clear sky
Isangel,VU,-19.55,169.2667,82.51,83,75,10.36,broken clouds
Cadale,SO,2.7603,46.3222,82.45,70,15,10.71,few clouds
Mogadishu,SO,2.0371,45.3438,81.48,76,45,13.65,scattered clouds
Reggane,DZ,26.7158,0.1714,74.57,16,0,8.55,clear sky
Abra Pampa,AR,-22.7205,-65.697,59.58,38,9,12.97,clear sky
West Island,CC,-12.1568,96.8225,80.58,83,21,12.66,few clouds
San Sebastian De La Gomera,ES,28.0916,-17.1133,66.56,88,0,2.3,clear sky
Yuzhno-Kurilsk,RU,44.0306,145.8556,38.1,100,100,8.34,overcast clouds
Haikou,CN,20.0458,110.3417,78.93,89,75,2.24,broken clouds
Port Mathurin,MU,-19.6833,63.4167,78.89,78,20,6.91,few clouds
Xianshuigu,CN,38.985,117.3828,42.8,87,3,6.71,clear sky
Arno,SE,60.1167,18.6333,36.23,87,100,13.94,overcast clouds
Mamuju,ID,-2.6748,118.8885,76.44,88,71,3.49,broken clouds
Valparaiso,CL,-33.0393,-71.6273,66.76,60,0,16.11,clear sky
Porto Novo,BJ,6.4965,2.6036,82.22,80,99,3.6,overcast clouds
Kushtagi,IN,15.7667,76.2,78.03,49,100,12.41,overcast clouds
Quellon,CL,-43.1167,-73.6167,52.83,74,16,9.15,few clouds
Sandnessjoen,NO,66.0217,12.6316,41.41,75,100,16.11,overcast clouds
Glace Bay,CA,46.1969,-59.957,30.96,80,40,21.85,light snow
Whitehorse,CA,60.7161,-135.0538,39.97,44,75,11.5,broken clouds
Sao Fidelis,BR,-21.6461,-41.7469,77.59,89,53,3.02,moderate rain
Griffith,US,41.5284,-87.4237,49.84,75,100,21.85,overcast clouds
Kill Devil Hills,US,36.0307,-75.676,75.22,64,0,16.11,clear sky
Ghat,LY,24.9647,10.1728,64.63,19,13,16.22,few clouds
Tralee,IE,52.2704,-9.7026,41.97,93,98,15.37,light rain
Bor,RU,56.3567,44.0669,40.93,80,60,4.83,broken clouds
Kudymkar,RU,59.0173,54.656,38.66,93,100,7.99,overcast clouds
Heinola,FI,61.2056,26.0381,34.27,93,98,3.51,overcast clouds
Isiklar,TR,36.9942,40.1264,49.89,86,8,6.67,clear sky
Coquimbo,CL,-29.9533,-71.3436,64.13,77,20,11.5,few clouds
Tarko-Sale,RU,64.9225,77.785,33.73,99,100,9.73,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,80.55,83,40,11.5,scattered clouds
Gadzhiyevo,RU,69.2551,33.3362,31.64,89,99,9.6,overcast clouds
Nesterov,RU,54.6306,22.5714,40.12,72,5,16.75,clear sky
Dwarka,IN,22.2394,68.9678,76.66,61,74,11.34,broken clouds
Petropavlovsk-Kamchatsky,RU,53.0452,158.6483,32.59,51,40,15.66,scattered clouds
Gulf Shores,US,30.246,-87.7008,81.28,75,40,9.22,scattered clouds
Fisterra,ES,42.9049,-9.2629,53.42,81,5,4.99,clear sky
Portland,US,45.5234,-122.6762,73.92,44,53,5.01,broken clouds
Al Ain City,AE,24.1917,55.7606,74.55,51,92,4.9,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,78.76,83,75,17.27,light rain
Oeiras Do Para,BR,-2.0031,-49.8544,76.05,96,91,3.2,light rain
La'Ie,US,21.6477,-157.9253,79.95,63,6,11.01,clear sky
Boende,CD,-0.2167,20.8667,72.75,89,100,2.89,overcast clouds
Aykhal,RU,66.0,111.5,-5.66,100,99,6.96,overcast clouds
Bilari,IN,28.6333,78.8,69.42,66,100,7.0,overcast clouds
Kiunga,PG,-6.1219,141.2906,71.42,99,100,5.91,overcast clouds
Clearlake,US,38.9582,-122.6264,78.82,26,100,6.38,overcast clouds
N'Zeto,AO,-7.2312,12.8666,78.21,84,100,6.26,overcast clouds
Beloyarskiy,RU,63.7119,66.6722,34.05,99,100,6.24,overcast clouds
Natchitoches,US,31.7668,-93.1335,76.98,73,100,8.05,heavy intensity rain
Tazacorte,ES,28.629,-17.9293,65.16,92,40,6.91,scattered clouds
Hammerfest,NO,70.6634,23.6821,30.65,69,75,9.22,broken clouds
Puerto San Jose,GT,13.9256,-90.8244,90.52,66,19,12.33,few clouds
Fortuna,US,40.5982,-124.1573,72.93,60,0,13.8,clear sky
Daru,PG,-9.0763,143.2092,80.56,82,100,8.88,overcast clouds
Okahandja,NA,-21.9833,16.9167,73.38,36,80,7.0,broken clouds
Argo,GR,37.6333,22.7333,52.43,93,64,4.85,broken clouds
'Ain El Turk,DZ,35.7438,-0.7693,56.08,76,0,5.75,clear sky
Udachny,RU,66.4167,112.4,-5.78,100,93,5.57,overcast clouds
Strelka,RU,58.0728,93.0344,32.79,99,100,6.26,overcast clouds
Ballina,AU,-28.8667,153.5667,66.61,79,100,19.53,overcast clouds
Mabaruma,GY,8.2,-59.7833,75.2,94,75,0.0,broken clouds
Bargaal,SO,11.2864,51.0773,80.17,79,78,5.57,broken clouds
Moussoro,TD,13.6408,16.4901,87.26,31,99,7.56,overcast clouds
Faya-Largeau,TD,17.9257,19.1043,85.8,11,100,17.38,overcast clouds
Laojunmiao,CN,39.8333,97.7333,42.37,17,10,2.86,clear sky
Szczebrzeszyn,PL,50.695,22.9795,46.54,89,100,7.78,overcast clouds
Khandyga,RU,62.6667,135.6,13.24,97,97,0.56,overcast clouds
Berezovyy,RU,51.6667,135.7,25.5,74,55,1.83,broken clouds
Barcelos,PT,41.5388,-8.6151,52.88,82,91,3.04,overcast clouds
Oranjemund,NA,-28.55,16.4333,60.91,95,8,9.93,clear sky
Godean,ID,-7.7697,110.2939,76.21,99,97,2.39,overcast clouds
Lusambo,CD,-4.9667,23.45,68.9,100,100,2.53,light rain
Jiujiang,CN,29.7333,115.9833,60.8,89,60,5.39,broken clouds
Ta`U,AS,-14.2336,-169.5144,82.72,74,99,8.63,overcast clouds
Batticaloa,LK,7.7102,81.6924,78.39,85,86,3.91,overcast clouds
El Calafate,AR,-50.3408,-72.2768,46.85,86,22,7.27,few clouds
Mugia,ES,43.1041,-9.2179,48.9,83,0,1.41,clear sky
Zhoushan,CN,30.0108,122.2047,56.25,96,15,11.21,few clouds
Belem De Sao Francisco,BR,-8.7539,-38.9658,84.97,51,16,20.38,few clouds
Bayanhongor,MN,46.7167,100.1167,20.44,63,1,2.62,clear sky
Sitka,US,57.0531,-135.33,42.69,81,100,4.61,light rain
Saint-Philippe,RE,-21.3585,55.7679,75.38,75,19,8.84,few clouds
Robore,BO,-18.3333,-59.75,69.35,90,94,2.57,overcast clouds
Tadine,NC,-21.55,167.8833,80.82,76,20,10.89,few clouds
Saint-Pathus,FR,49.0714,2.7989,58.46,74,0,14.97,clear sky
Tual,ID,-5.6667,132.75,81.72,75,97,2.62,overcast clouds
Belmonte,BR,-15.8631,-38.8828,77.5,89,30,7.25,scattered clouds
Viedma,AR,-40.8135,-62.9967,55.45,43,0,6.17,clear sky
Namibe,AO,-15.1961,12.1522,75.85,87,98,4.65,moderate rain
Chumphon,TH,10.3333,98.8333,71.76,96,99,2.01,overcast clouds
Vung Tau,VN,10.346,107.0843,79.32,81,10,6.17,clear sky
Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,85.55,38,8,10.38,clear sky
Kerch,UA,45.3583,36.4758,50.45,92,100,6.44,overcast clouds
Ancud,CL,-41.8697,-73.8203,55.63,69,97,2.66,overcast clouds
Itamaraca,BR,-7.7478,-34.8256,82.24,84,14,6.76,few clouds
Mili,MH,6.0815,171.735,81.54,81,98,18.81,moderate rain
Lindi,TZ,-10.0,39.7167,72.88,97,41,4.25,scattered clouds
Dubbo,AU,-32.25,148.6167,62.73,72,75,11.5,broken clouds
Tazovsky,RU,67.4667,78.7,31.89,99,100,8.72,snow
Constitucion,CL,-35.3333,-72.4167,60.91,67,65,12.59,broken clouds
Selfoss,IS,63.9331,-20.9971,22.05,75,22,6.8,few clouds
Trondheim,NO,63.4305,10.3951,36.99,71,49,3.0,scattered clouds
Pont Rouge,CA,48.8833,-72.0825,31.12,91,100,8.61,overcast clouds
Isla Del Bosque,MX,22.7333,-105.85,83.1,56,50,13.49,scattered clouds
Santa Cruz,BO,-17.8,-63.1667,89.65,51,20,2.3,few clouds
Haiku-Pauwela,US,20.9219,-156.3051,78.22,61,20,16.11,moderate rain
Kirensk,RU,57.7853,108.1119,2.8,99,88,0.98,overcast clouds
Iwata,JP,34.7,137.85,62.02,96,100,7.0,overcast clouds
Bilibino,RU,68.0546,166.4372,9.68,80,100,2.86,overcast clouds
Anadyr,RU,64.75,177.4833,3.7,85,40,0.0,mist
Fada,NG,7.25,4.0667,75.29,94,92,5.01,moderate rain
Abaza,RU,52.655,90.0928,35.33,88,48,3.89,scattered clouds
Masterton,NZ,-40.9597,175.6575,59.83,78,100,1.57,overcast clouds
Desaguadero,PE,-16.5656,-69.0417,51.4,55,39,14.94,scattered clouds
Onega,RU,63.9061,38.1404,32.13,84,100,9.28,overcast clouds
Happy Valley-Goose Bay,CA,53.3168,-60.3315,25.11,30,20,10.36,few clouds
Nuku'Alofa,TO,-21.1333,-175.2,80.94,78,75,4.61,broken clouds
Richland,US,40.7834,-82.5499,75.11,66,40,31.07,light rain
Bonthe,SL,7.5264,-12.505,77.58,86,1,7.34,clear sky
Mitu,CO,1.1983,-70.1733,76.82,93,100,2.57,overcast clouds
Huarmey,PE,-10.0681,-78.1522,75.09,78,63,8.55,broken clouds
Olinda,BR,-8.0089,-34.8553,76.73,88,75,8.05,mist
As Sulayyil,SA,20.4607,45.5779,84.29,22,1,8.03,clear sky
Qarqaraly,KZ,49.4058,75.4742,47.21,44,100,4.9,overcast clouds
Kasempa,ZM,-13.4584,25.8338,64.63,87,100,4.18,overcast clouds
Ar Ruways,AE,24.1103,52.7306,74.1,70,9,9.33,clear sky
Porangatu,BR,-13.4408,-49.1486,78.22,72,43,1.36,scattered clouds
Sohbatpur,PK,28.5202,68.5434,73.09,42,3,6.62,clear sky
Igarka,RU,67.4667,86.5833,26.55,95,100,21.56,light snow
Chegdomyn,RU,51.1167,133.0167,19.89,79,32,0.89,scattered clouds
Atafu Village,TK,-8.5421,-172.5159,83.19,76,89,9.28,overcast clouds
Laurel,US,39.0993,-76.8483,86.65,55,0,14.97,clear sky
Salinopolis,BR,-0.6136,-47.3561,78.17,90,100,9.98,light rain
Dame-Marie,HT,18.5667,-74.4167,78.69,75,19,5.21,light rain
Kone,NC,-21.0595,164.8658,80.1,77,14,4.07,few clouds
Dosso,NE,13.049,3.1937,85.71,11,76,8.7,broken clouds
Rosarito,MX,32.3333,-117.0333,86.92,58,34,10.98,scattered clouds
La Passe,FR,45.5549,-0.8967,54.9,67,55,6.64,broken clouds
Charters Towers,AU,-20.1,146.2667,70.11,72,22,11.32,few clouds
Pisco,PE,-13.7,-76.2167,80.02,65,0,18.41,clear sky
Novo Horizonte,BR,-21.4681,-49.2208,81.64,60,92,4.9,overcast clouds
Wesselsbron,ZA,-27.8549,26.3658,70.68,48,73,4.59,broken clouds
Weno,FM,7.4515,151.8468,85.32,85,100,10.0,heavy intensity rain
Coahuayana De Hidalgo,MX,18.7,-103.6583,87.17,58,58,7.07,broken clouds
Hamilton,US,39.1834,-84.5333,72.61,82,75,13.8,broken clouds
Nouadhibou,MR,20.931,-17.0347,76.98,57,2,10.36,clear sky
Fuglafjordur,FO,62.244,-6.814,33.94,74,11,5.84,few clouds
Hami,CN,42.8,93.45,57.81,14,0,5.46,clear sky
Zabol,AF,32.25,67.25,45.88,79,16,4.63,few clouds
Agadez,NE,19.75,10.25,74.71,11,75,7.54,broken clouds
Saint-Francois,FR,46.4154,3.9054,51.67,90,0,0.0,clear sky
Al Wajh,SA,26.2455,36.4525,71.55,33,0,3.44,clear sky
Tolanaro,MG,-25.0319,46.9987,73.47,64,75,2.3,broken clouds
Axim,GH,4.8699,-2.2405,79.72,86,9,6.46,clear sky
Avarua,CK,-21.2078,-159.775,84.25,79,75,13.8,broken clouds
Dingcheng,CN,32.1272,115.0394,59.7,83,15,8.25,few clouds
Diawara,SN,15.022,-12.5437,88.36,11,25,9.1,scattered clouds
Holualoa,US,19.6228,-155.9522,76.84,69,0,13.8,clear sky
Rio Grande,BR,-32.035,-52.0986,68.45,84,92,24.07,overcast clouds
Kerikeri,NZ,-35.2268,173.9474,64.58,87,100,9.1,overcast clouds
Hakui,JP,36.8833,136.7833,52.09,92,100,10.51,overcast clouds
Santa Cruz Del Norte,CU,23.1539,-81.9236,78.3,75,0,24.54,clear sky
Uturoa,PF,-16.7333,-151.4333,82.87,76,24,17.52,light rain
Dinan,FR,48.4167,-2.25,53.1,76,92,17.29,overcast clouds
Issa,RU,53.8705,44.8578,43.7,83,22,9.31,few clouds
Bilthra,IN,26.1231,83.8689,81.05,37,100,14.16,overcast clouds
Kristiansund,NO,63.1115,7.732,41.65,56,31,18.41,scattered clouds
Napasar,IN,27.9667,73.55,73.44,38,40,5.3,scattered clouds
Nova Vicosa,BR,-17.8919,-39.3719,77.83,85,62,6.89,broken clouds
Amga,RU,60.8953,131.9608,2.5,100,99,1.36,overcast clouds
Aridaia,GR,40.9731,22.0564,54.88,81,45,10.49,scattered clouds
Nar'Yan-Mar,RU,67.6713,53.087,20.37,91,6,8.5,clear sky
Carnarvon,AU,-24.8667,113.6333,71.24,77,6,13.87,clear sky
Mumford,GH,5.2618,-0.759,81.05,82,22,5.66,few clouds
Olyokminsk,RU,60.3736,120.4264,1.4,99,76,2.17,broken clouds
Bazarak,AF,35.3129,69.5152,33.51,86,94,4.92,overcast clouds
Shahrud,IR,36.4182,54.9763,54.91,61,3,3.44,light rain
Yeed,SO,4.55,43.0333,83.82,55,90,8.63,overcast clouds
Slatina,RO,44.4333,24.3667,51.85,87,4,0.96,clear sky
Walvis Bay,NA,-22.9575,14.5053,67.15,77,6,5.75,clear sky
Bria,CF,6.5423,21.9863,75.43,61,100,2.1,overcast clouds
Howrah,IN,22.5892,88.3103,84.2,74,40,5.75,haze
Tromso,NO,69.6496,18.957,32.02,64,100,2.3,overcast clouds
Sinabang,ID,2.4803,96.3801,79.47,82,34,3.02,scattered clouds
Sabha,LY,27.0377,14.4283,63.59,17,0,10.42,clear sky
Mashhad,IR,36.297,59.6062,59.85,58,89,7.92,heavy intensity rain
Okola,CM,4.0167,11.3833,68.45,97,100,3.62,overcast clouds
Akrehamn,NO,59.2667,5.1833,41.25,75,100,14.97,overcast clouds
Ardestan,IR,33.3761,52.3694,61.9,30,0,16.35,clear sky
Borujen,IR,31.9652,51.2873,43.86,76,1,6.13,clear sky
Morant Bay,JM,17.8815,-76.4093,80.19,78,15,11.79,few clouds
Luderitz,NA,-26.6481,15.1594,66.6,73,0,17.78,clear sky
Gaspe,CA,48.8334,-64.4819,32.22,37,75,8.05,broken clouds
Port Lincoln,AU,-34.7333,135.8667,67.96,72,100,5.35,light rain
Colonia,DE,50.9333,6.95,54.95,80,0,11.5,clear sky
Margate,GB,51.3813,1.3862,53.69,77,100,1.01,overcast clouds
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.19,82,16,7.4,few clouds
